Title:       ,Sunset_PID
 2.7100300 , 8.3741020
 2.7107210 , 8.3735000
 2.7110080 , 8.3727600
 2.7114310 , 8.3724390
 2.7122130 , 8.3719210
 2.7121010 , 8.3715750
 2.7125500 , 8.3708900
 2.7135280 , 8.3705860
 2.7132230 , 8.3700910
 2.7137810 , 8.3696350
 2.7148190 , 8.3690540
 2.7143910 , 8.3685680
 2.7146980 , 8.3684460
 2.7155150 , 8.3676260
 2.7155340 , 8.3671500
 2.7159300 , 8.3666030
 2.7162700 , 8.3661950
 2.7164800 , 8.3657990
 2.7171400 , 8.3650930
 2.7172030 , 8.3647380
 2.7174300 , 8.3643340
 2.7181460 , 8.3635610
 2.7183550 , 8.3629880
 2.7187710 , 8.3625200
 2.7194060 , 8.3621590
 2.7193580 , 8.3613980
 2.7198870 , 8.3607760
 2.7209540 , 8.3606420
 2.7206620 , 8.3602520
 2.7210290 , 8.3597400
 2.7222320 , 8.3589400
 2.7220380 , 8.3586640
 2.7223440 , 8.3580470
 2.7234570 , 8.3576150
 2.7231970 , 8.3573080
 2.7235070 , 8.3565720
 2.7246000 , 8.3565740
 2.7241980 , 8.3557620
 2.7247140 , 8.3552490
 2.7257010 , 8.3548550
 2.7253410 , 8.3545110
 2.7257500 , 8.3539040
 2.7269780 , 8.3529970
 2.7267160 , 8.3526680
 2.7268950 , 8.3523700
 2.7280780 , 8.3516250
 2.7276530 , 8.3510120
 2.7282300 , 8.3504630
 2.7288530 , 8.3502400
 2.7286380 , 8.3497030
 2.7292920 , 8.3490600
 2.7297540 , 8.3485000
 2.7296890 , 8.3483460
 2.7299840 , 8.3476630
 2.7306390 , 8.3471000
 2.7305580 , 8.3468650
 2.7307170 , 8.3463010
 2.7309810 , 8.3458680
 2.7321290 , 8.3451230
 2.7317090 , 8.3448990
 2.7319920 , 8.3446660
 2.7329560 , 8.3438350
 2.7327070 , 8.3434920
 2.7329950 , 8.3427650
 2.7337090 , 8.3424370
 2.7336800 , 8.3418940
 2.7340130 , 8.3413650
 2.7342410 , 8.3410210
 2.7352740 , 8.3403440
 2.7350320 , 8.3400080
 2.7352000 , 8.3393380
 2.7362830 , 8.3387140
 2.7358840 , 8.3387340
 2.7361570 , 8.3379570
 2.7367200 , 8.3374260
 2.7374670 , 8.3369300
 2.7373270 , 8.3365950
 2.7374490 , 8.3360430
 2.7382800 , 8.3356600
 2.7382190 , 8.3352790
 2.7383650 , 8.3347220
 2.7387740 , 8.3343530
 2.7399480 , 8.3335840
 2.7394840 , 8.3331740
 2.7396320 , 8.3329570
 2.7402310 , 8.3323730
 2.7406450 , 8.3317810
 2.7409050 , 8.3311550
 2.7409610 , 8.3307500
 2.7416220 , 8.3305440
 2.7416940 , 8.3296800
 2.7419900 , 8.3294960
 2.7423700 , 8.3289170
 2.7433390 , 8.3285430
 2.7431140 , 8.3278460
 2.7434140 , 8.3275930
 2.7435970 , 8.3272450
 2.7447970 , 8.3264730
 2.7445810 , 8.3260660
 2.7448390 , 8.3256530
 2.7451270 , 8.3254860
 2.7463450 , 8.3248710
 2.7459740 , 8.3242100
 2.7462220 , 8.3239000
 2.7465990 , 8.3232750
 2.7476690 , 8.3231420
 2.7473160 , 8.3224860
 2.7475810 , 8.3219570
 2.7478490 , 8.3215810
 2.7489490 , 8.3209300
 2.7486160 , 8.3206710
 2.7488260 , 8.3200620
 2.7492840 , 8.3197900
 2.7500860 , 8.3193630
 2.7500450 , 8.3185960
 2.7503310 , 8.3184060
 2.7505130 , 8.3180270
 2.7513120 , 8.3174900
 2.7519090 , 8.3170400
 2.7515910 , 8.3167860
 2.7519530 , 8.3164840
 2.7522230 , 8.3159000
 2.7533890 , 8.3152820
 2.7530100 , 8.3148470
 2.7532450 , 8.3146130
 2.7535730 , 8.3142510
 2.7545680 , 8.3134810
 2.7550620 , 8.3129460
 2.7546160 , 8.3127560
 2.7550380 , 8.3121420
 2.7555970 , 8.3115330
 2.7562960 , 8.3113450
 2.7561700 , 8.3112530
 2.7562000 , 8.3106390
 2.7567230 , 8.3101550
 2.7571070 , 8.3096910
 2.7580320 , 8.3094510
 2.7574930 , 8.3092000
 2.7579200 , 8.3085270
 2.7582070 , 8.3081090
 2.7588690 , 8.3076370
 2.7597320 , 8.3073600
 2.7592900 , 8.3067470
 2.7596420 , 8.3062060
 2.7599800 , 8.3060180
 2.7606380 , 8.3052730
 2.7608300 , 8.3048120
 2.7610650 , 8.3043210
 2.7614120 , 8.3037190
 2.7617590 , 8.3034360
 2.7629360 , 8.3028080
 2.7624390 , 8.3025290
 2.7626030 , 8.3021490
 2.7628600 , 8.3019860
 2.7636190 , 8.3012320
 2.7636180 , 8.3009330
 2.7636800 , 8.3010170
 2.7638350 , 8.3005000
 2.7645060 , 8.3000270
 2.7650920 , 8.2995010
 2.7646120 , 8.2995430
 2.7648810 , 8.2991800
 2.7662210 , 8.2985420
 2.7665150 , 8.2982170
 2.7659690 , 8.2979810
 2.7663230 , 8.2973310
 2.7665560 , 8.2968300
 2.7674050 , 8.2965720
